,Promedio,Reprobadas Primer Semestre,Inscritas,Bajas,Espera Aprobar,Sueño,Ejercicio,Tiempo Total,Usa Metro,Línea,Estación Fin,Tiempo Metro PostP,Alumno PreP,Misma Ruta,Tiempo Metro PreP,Estación,Distancia
83,8.8,2,3,0,2,7,Entre 3 y 4,60,Sí,8,Universidad,40.0,Sí,No usaba Metro,,Escuadrón 201,19.493
84,7.5,1,5,0,3,8,Entre 1 y 2,130,Sí,B,Universidad,110.0,Sí,No usaba Metro,,Plaza Aragón,33.073
85,7.9,1,5,1,2,7,Ninguno,90,Sí,9,Universidad,50.0,No,,,Puebla,18.227
86,8.9,2,6,0,5,7,Entre 1 y 2,70,No,,,,,,,,0.0
87,8.7,1,5,2,Todas,6,Entre 1 y 2,110,Sí,12 (mediante otro transporte como MB o RTP de apoyo),Universidad,80.0,Sí,Si,60.0,Tláhuac,0.0
88,7.9,2,4,0,Todas,5,Entre 1 y 2,100,Sí,7,Universidad,60.0,Sí,Si,50.0,Camarones,21.564
89,8.0,1,4,0,Todas,7,Más de 4,70,No,,,,,,,,0.0
90,7.7,2,5,0,Todas,6,Entre 1 y 2,20,No,,,,,,,,0.0
91,9.0,1,4,0,Todas,6,Entre 3 y 4,60,Sí,7,Universidad,50.0,Sí,No usaba Metro,,Mixcoac,17.032
92,9.3,0,6,0,5,5,Entre 1 y 2,110,Sí,2,Universidad,60.0,Sí,Si,60.0,Cuatro Caminos,22.372
93,9.0,0,5,0,Todas,6,Entre 1 y 2,60,Sí,9,Universidad,30.0,No,,,Chilpancingo,11.716
94,8.7,1,5,0,Todas,6,Ninguno,110,No,,,,,,,,0.0
95,8.5,0,1,5,Todas,6,Entre 1 y 2,60,No,,,,,,,,0.0
96,7.1,1,4,0,Todas,5,Entre 1 y 2,40,No,,,,,,,,0.0
97,8.3,0,5,1,3,5,Entre 3 y 4,50,No,,,,,,,,0.0
98,8.7,1,4,0,3,5,Ninguno,70,Sí,8,Universidad,60.0,Sí,Si,60.0,San Juan de Letrán,15.154
99,8.9,0,5,0,3,7,Entre 1 y 2,70,Sí,8,Universidad,50.0,Sí,No usaba Metro,,Aculco,18.554
100,9.3,1,5,0,Todas,5,Más de 4,70,Sí,3,Universidad,50.0,No,,,Deportivo 18 de Marzo,19.962
101,7.6,1,5,3,Todas,5,Entre 1 y 2,70,Sí,2,Universidad,50.0,Sí,Usaba otra ruta,,San Cosme,15.375
102,8.4,2,6,0,2,4,Más de 4,70,Sí,9,Universidad,30.0,No,,,Tacubaya,14.104
103,8.5,0,3,0,Todas,7,Entre 1 y 2,80,Sí,4,Universidad,50.0,Sí,No usaba Metro,,Santa Anita,14.549
104,8.7,1,6,1,Todas,5,Ninguno,100,Sí,9,Universidad,50.0,No,,,Pantitlán,19.757
105,9.1,1,5,2,3,7,Más de 4,70,Sí,8,Universidad,50.0,No,,,Iztapalapa,22.263
106,9.7,1,4,0,2,8,Ninguno,60,No,,,,,,,,0.0
107,8.2,0,5,0,3,5,Ninguno,50,No,,,,,,,,0.0
108,7.7,0,5,2,Todas,4,Más de 4,50,Sí,12 (mediante otro transporte como MB o RTP de apoyo),Copilco,30.0,Sí,Si,20.0,Mixcoac,15.576
109,7.0,0,5,2,3,6,Entre 1 y 2,40,Sí,3,Universidad,10.0,Sí,No usaba Metro,,Copilco,1.456
110,8.7,1,4,2,2,5,Ninguno,60,Sí,12 (mediante otro transporte como MB o RTP de apoyo),Universidad,40.0,Sí,No usaba Metro,,Tláhuac,0.0
111,8.8,3,3,1,Todas,6,Ninguno,90,No,,,,,,,,0.0
112,9.4,2,5,1,2,4,Más de 4,70,Sí,12 (mediante otro transporte como MB o RTP de apoyo),Copilco,40.0,No,,,Tláhuac,0.0
113,7.8,0,5,0,Todas,5,Entre 1 y 2,50,Sí,2,Universidad,40.0,Sí,Si,30.0,Pino Suárez,14.532
114,8.6,1,5,1,Todas,5,Entre 1 y 2,60,Sí,9,Universidad,40.0,Sí,No usaba Metro,,Patriotismo,12.821
115,8.6,1,5,0,3,5,Entre 1 y 2,60,Sí,9,Copilco,40.0,Sí,Si,10.0,Patriotismo,11.365
116,7.2,1,5,0,Todas,7,Ninguno,170,Sí,B,Universidad,110.0,No,,,Ciudad Azteca,33.797
117,7.6,1,5,0,2,7,Ninguno,70,Sí,2,Universidad,50.0,Sí,Si,50.0,Pino Suárez,14.532
118,8.5,1,5,0,Todas,4,Entre 1 y 2,70,Sí,12 (mediante otro transporte como MB o RTP de apoyo),Universidad,50.0,No,,,Tláhuac,0.0
119,7.7,2,5,1,Todas,6,Ninguno,70,Sí,8,Universidad,40.0,No,,,La Viga,13.766
120,8.5,1,4,0,2,6,Ninguno,120,Sí,A,Universidad,100.0,Sí,Si,80.0,Santa Marta,30.611
121,9.0,1,5,0,Todas,4,Entre 3 y 4,10,Sí,3,Universidad,40.0,No,,,Universidad,0.0
122,8.0,0,5,0,Todas,5,Entre 3 y 4,80,Sí,1,Universidad,70.0,Sí,Usaba otra ruta,,Zaragoza,0.0
123,7.6,1,6,0,Todas,5,Entre 1 y 2,90,Sí,A,Universidad,60.0,No,,,Pantitlán,19.757
124,8.8,4,5,0,3,4,Entre 3 y 4,90,No,,,,,,,,0.0
125,9.0,1,6,0,Todas,6,Entre 1 y 2,80,No,,,,,,,,0.0
126,8.1,4,5,0,2,5,Entre 1 y 2,90,Sí,1,Universidad,60.0,No,,,Boulevard Puerto Aéreo,0.0
127,8.3,2,5,0,Todas,8,Entre 1 y 2,110,Sí,B,Universidad,90.0,Sí,Si,80.0,Ecatepec,31.468
128,8.8,1,5,0,3,6,Entre 1 y 2,20,Sí,3,Universidad,0.0,Sí,No usaba Metro,,Universidad,0.0
129,8.6,1,4,0,3,4,Ninguno,90,Sí,6,Copilco,70.0,Sí,Si,70.0,Martín Carrera,20.517
130,7.8,1,6,0,Todas,6,Entre 1 y 2,90,No,,,,,,,,0.0
131,8.5,0,6,1,5,6,Entre 3 y 4,100,Sí,3,Universidad,80.0,Sí,Si,50.0,Deportivo 18 de Marzo,19.962
132,9.1,1,5,0,Todas,7,Entre 3 y 4,100,Sí,B,Universidad,70.0,Sí,Usaba otra ruta,,San Lázaro,18.578
133,8.5,0,6,1,2,6,Más de 4,120,Sí,A,Universidad,90.0,Sí,Si,80.0,Los Reyes,32.544
134,8.7,1,6,1,3,5,Entre 3 y 4,60,No,,,,,,,,0.0
135,9.4,0,5,0,Todas,5,Entre 1 y 2,70,No,,,,,,,,0.0
136,6.5,1,5,0,3,6,Entre 1 y 2,50,Sí,9,Universidad,30.0,Sí,Si,20.0,Lázaro Cárdenas,11.623
137,7.6,2,2,0,Todas,4,Ninguno,120,Sí,B,Universidad,90.0,No,,,Ciudad Azteca,33.797
138,8.0,0,5,0,Todas,4,Entre 1 y 2,100,Sí,6,Universidad,80.0,Sí,Usaba otra ruta,,La Villa-Basílica,20.682
139,8.0,2,6,0,Todas,5,Entre 1 y 2,70,No,,,,,,,,0.0
140,9.1,0,6,0,4,6,Ninguno,140,Sí,9,Universidad,70.0,Sí,Usaba otra ruta,,Pantitlán,19.757
141,8.7,0,5,0,Todas,6,Entre 3 y 4,120,Sí,B,Universidad,90.0,Sí,Si,80.0,Ciudad Azteca,33.797
142,7.7,1,5,0,3,8,Ninguno,70,Sí,9,Universidad,40.0,No,,,Tacubaya,14.104
143,8.9,0,5,0,3,5,Entre 1 y 2,100,No,,,,,,,,0.0
144,8.6,4,6,0,2,4,Entre 1 y 2,90,No,,,,,,,,0.0
145,8.0,1,6,1,5,7,Entre 1 y 2,120,Sí,B,Universidad,90.0,Sí,Si,90.0,Plaza Aragón,33.073
146,8.6,1,4,0,Todas,7,Entre 1 y 2,100,Sí,2,Universidad,70.0,Sí,Usaba otra ruta,,Cuatro Caminos,22.372
147,8.7,1,5,0,3,5,Ninguno,30,Sí,3,Universidad,10.0,Sí,Si,10.0,Miguel Ángel de Quevedo,2.901
148,9.0,3,5,0,5,5,Entre 1 y 2,70,Sí,B,Universidad,50.0,Sí,Usaba otra ruta,,Buenavista,15.474
149,8.5,2,5,0,Todas,6,Entre 3 y 4,90,Sí,4,Universidad,60.0,Sí,Si,40.0,Morelos,17.132
150,7.6,1,5,0,3,5,Entre 1 y 2,90,Sí,2,Universidad,60.0,Sí,Usaba otra ruta,,Normal,16.182
151,8.8,1,6,1,2,6,Entre 1 y 2,90,Sí,B,Universidad,70.0,Sí,No usaba Metro,,Ecatepec,31.468
152,8.1,1,5,2,3,6,Ninguno,80,No,,,,,,,,0.0
153,8.8,2,6,2,4,5,Entre 1 y 2,100,Sí,9,Universidad,100.0,No,,,Pantitlán,19.757
154,9.0,2,6,0,Todas,7,Entre 1 y 2,20,No,,,,,,,,0.0
155,8.9,2,2,1,Todas,6,Entre 3 y 4,90,Sí,6,Copilco,60.0,Sí,Si,60.0,Martín Carrera,20.517
156,7.9,3,Más de 6,1,Todas,7,Entre 1 y 2,90,No,,,,,,,,0.0
157,9.0,0,5,0,Todas,5,Entre 1 y 2,80,Sí,12 (mediante otro transporte como MB o RTP de apoyo),Universidad,60.0,Sí,No usaba Metro,,San Andrés Tomatlán,0.0
